class,direction,rank,gene,coefficient
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,4,ENSG00000010610,-0.24999888
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,5,ENSG00000150347,-0.16717526
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,6,ENSG00000147443,-0.15343845
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,7,ENSG00000002586,-0.1371429
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,8,ENSG00000166949,-0.12846231
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,9,ENSG00000067082,-0.053756364
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,10,ENSG00000131370,-0.048052255
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,11,ENSG00000154451,-0.028060587
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,12,ENSG00000057657,-0.026099341
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,13,ENSG00000123240,-0.024199799
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,14,ENSG00000139187,-0.019919576
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,15,ENSG00000124942,-0.011194649
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,16,ENSG00000142599,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,17,ENSG00000184216,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,18,ENSG00000169057,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,19,ENSG00000196924,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,20,ENSG00000102119,0.0
