class,direction,rank,gene_id,gene_symbol,coefficient
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,10,ENSG00000102119,EMD,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,11,ENSG00000102125,TAZ,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,12,ENSG00000071553,ATP6AP1,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,13,ENSG00000203879,GDI1,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,14,ENSG00000160211,G6PD,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,15,ENSG00000269335,IKBKG,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,16,ENSG00000160219,GAB3,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,17,ENSG00000183878,UTY,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,18,ENSG00000012817,KDM5D,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,19,ENSG00000198888,MT-ND1,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,20,ENSG00000198763,MT-ND2,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,1,ENSG00000153563,CD8A,1.17702
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,2,ENSG00000184613,NELL2,0.37050343
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,3,ENSG00000072110,ACTN1,0.3523904
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,4,ENSG00000275395,FCGBP,0.35090014
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,5,ENSG00000213809,KLRK1,0.31106356
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,6,ENSG00000172673,THEMIS,0.2662412
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,7,ENSG00000138795,LEF1,0.21803248
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,8,ENSG00000064201,TSPAN32,0.12601694
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,9,ENSG00000204472,AIF1,0.123600036
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,10,ENSG00000152270,PDE3B,0.12070046
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,11,ENSG00000172766,NAA16,0.048869208
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,12,ENSG00000070081,NUCB2,0.04408325
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,13,ENSG00000099204,ABLIM1,0.02193251
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,14,ENSG00000171608,PIK3CD,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,15,ENSG00000074800,ENO1,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,16,ENSG00000142599,RERE,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,17,ENSG00000198938,MT-CO3,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,18,ENSG00000198840,MT-ND3,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,19,ENSG00000212907,MT-ND4L,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,20,ENSG00000198886,MT-ND4,0.0
